Supplier,Email,Full Name,Billing Address,Phone,Deleted,Tax Id,Balance,Last Modified By,Supplier Display Name,Created Date,Last Modified Date
AgriFarm Biologicals Ltd,sales@agrifarmbiologicals.co.ke,Agrifarm Biologicals Ltd,P.O Box 12775 Nairobi  00400 Kenya,0725538297,False,P051657768C,-63000.0,Sheila Maina,AgriFarm Biologicals Ltd,2023-01-13T12:45:31,2023-08-24T12:14:39
AGVENTURE LIMITED P051307534B,,AGVENTURE LIMITED P051307534B,,,False,,-7273.0,Mary Wangeci,AGVENTURE LIMITED P051307534B,2022-12-02T11:23:09,2023-02-07T12:19:55
Ainu Shamshi Energy Ltd,,Ainu Shamshi Energy Ltd,,,False,,,Samuel Muchemi,Ainu Shamshi Energy Ltd,2022-09-28T18:17:42,2022-09-28T18:17:42
AIRTEL,,AIRTEL,,,False,,,Samuel Muchemi,AIRTEL,2022-09-28T18:17:42,2022-09-28T18:17:42
ALIMAR AUTO SPARES,,ALIMAR AUTO SPARES,,,False,,,Mary Wangeci,ALIMAR AUTO SPARES,2025-09-05T12:19:49,2025-09-05T12:19:49
ALPAC  STEEL WORKS,,ALPAC  STEEL WORKS,,,False,,,Mary Wangeci,ALPAC  STEEL WORKS,2023-04-28T12:01:34,2023-04-28T12:01:34
ALPAC STELL WORK,,ALPAC STELL WORK,,,False,,,Mary Wangeci,ALPAC STELL WORK,2023-05-24T11:31:39,2023-05-24T11:31:39
Alphonce,,Alphonce,,0728271841,False,,,Samuel Muchemi,Alphonce,2022-09-28T18:17:42,2022-09-28T18:17:42
AMAR AUTO SPARES,,AMAR AUTO SPARES,,,False,,,Samuel Muchemi,AMAR AUTO SPARES,2022-09-28T18:17:42,2022-09-28T18:17:42
AMARIS CHEMICALS,,,,,False,,,Mary Wangeci,AMARIS CHEMICALS,2024-09-02T12:16:18,2024-09-02T12:16:18
Amex Auto Parts P051189348K,,Amex Auto Parts P051189348K,,,False,,,Mary Wangeci,Amex Auto Parts P051189348K,2022-11-03T11:46:57,2022-11-03T11:46:57
AMPEX ELECTRICALS,,AMPEX  ELECTRICALS,,,False,,,Samuel Muchemi,AMPEX ELECTRICALS,2022-09-28T18:17:42,2022-09-28T18:17:42
Analytics  Solutions,,Analytics  Solutions,,,False,,14830.0,Mary Wangeci,Analytics  Solutions,2023-04-04T10:38:49,2023-04-04T10:38:55
ANAYAH AUTO SPARES,,ANAYAH AUTO SPARES,,,False,,,Mary Wangeci,ANAYAH AUTO SPARES,2025-03-10T10:01:12,2025-03-10T10:01:12
ANDERSON MBITI,,,,,False,,,Mary Wangeci,ANDERSON MBITI,2023-11-02T08:55:57,2023-11-02T08:55:57
ANGAZA BOOK MERCHANTS A012635976R,,,,,False,,,Mary Wangeci,ANGAZA BOOK MERCHANTS A012635976R,2023-09-28T09:33:51,2023-09-28T09:33:51
Angelina,,Angelina,,0713059975,False,,,Samuel Muchemi,Angelina,2022-09-28T18:17:42,2022-09-28T18:17:42
ANGELITECH COMPUTERS,,ANGELITECH  COMPUTERS,,,False,,,Samuel Muchemi,ANGELITECH COMPUTERS,2022-09-28T18:17:42,2022-09-28T18:17:42
ANGOLA AUTO GARAGE,,ANGOLA AUTO GARAGE,,,False,,,Samuel Muchemi,ANGOLA AUTO GARAGE,2022-09-28T18:17:42,2022-09-28T18:17:42
ANNEX PEROL STATION,,ANNEX PEROL STATION,,,False,,,Samuel Muchemi,ANNEX PEROL STATION,2022-09-28T18:17:42,2022-09-28T18:17:42
ANNEX PETROL STATION,,ANNEX PETROL STATION,,,False,,,Samuel Muchemi,ANNEX PETROL STATION,2022-09-28T18:17:42,2022-09-28T18:17:42
Antech Stationers,,Antech  Stationers,,,False,,,Samuel Muchemi,Antech Stationers,2022-09-28T18:17:42,2022-09-28T18:17:42
ANTHONY MUCHIRI,,,,,False,,,Mary Wangeci,ANTHONY MUCHIRI,2023-10-03T11:05:04,2023-10-03T11:05:04
ANTHONY MUTHONI,,,,,False,,,Mary Wangeci,ANTHONY MUTHONI,2024-12-10T15:36:06,2024-12-10T15:36:06
ANTONY KAGUNDA,,ANTONY  KAGUNDA,,,False,,-4000.0,Samuel Muchemi,ANTONY KAGUNDA,2022-09-28T18:17:42,2023-09-22T11:23:53
Apex Auto Spares,,Apex Auto Spares,,,False,,,Samuel Muchemi,Apex Auto Spares,2022-09-28T18:17:42,2022-09-28T18:17:42
Apex Hardware,,Apex  Hardware,,,False,,,Samuel Muchemi,Apex Hardware,2022-09-28T18:17:42,2022-09-28T18:17:42
ARTCAFFE COFFEE & BAKERY,,,,,False,,,Mary Wangeci,ARTCAFFE COFFEE & BAKERY,2023-08-24T09:16:42,2023-08-24T09:16:42
Ashut Plastics Ltdas,,Ashut Plastics Ltdas,,,False,,-2316.0,Sheila Maina,Ashut Plastics Ltdas,2022-10-04T16:13:19,2024-06-10T14:39:39
Ashut Plastics Ltdas P051897122Z,,,,,False,,,Mary Wangeci,Ashut Plastics Ltdas P051897122Z,2023-09-06T10:35:58,2023-09-06T10:35:58
Ashut Plastics Ltd P051897122Z,,,,,False,,,Mary Wangeci,Ashut Plastics Ltd P051897122Z,2024-04-03T15:38:09,2024-04-03T15:38:09
ASL CHEMICALS LTD  P000609289O,,,,,False,,,Mary Wangeci,ASL CHEMICALS LTD  P000609289O,2025-02-05T12:28:58,2025-02-05T12:28:58
ASTROL PETROLEUM P051141264M,,,,,False,,,Mary Wangeci,ASTROL PETROLEUM P051141264M,2025-06-19T10:01:22,2025-06-19T10:01:22
Atam Service Station P051188746K,,Atam Service Station P051188746K,,,False,,,Samuel Muchemi,Atam Service Station P051188746K,2022-09-28T18:17:43,2022-09-28T18:17:43
ATHI RIVER SERVICE STATION,,ATHI RIVER SERVICE STATION,,,False,,,Samuel Muchemi,ATHI RIVER SERVICE STATION,2022-09-28T18:17:43,2022-09-28T18:17:43
Augustine Kioko,,Augustine  Kioko,,,False,,,Samuel Muchemi,Augustine Kioko,2022-09-28T18:17:43,2022-09-28T18:17:43
AUTO ALEXYS TYRE CENTRE,,AUTO ALEXYS TYRE CENTRE,,,False,,,Mary Wangeci,AUTO ALEXYS TYRE CENTRE,2023-02-13T14:40:12,2023-02-13T14:40:12
AUTO CENTERE,,AUTO  CENTERE,,,False,,,Samuel Muchemi,AUTO CENTERE,2022-09-28T18:17:43,2022-09-28T18:17:43
Auto Centre Garage Buruburu,,Auto Centre Garage Buruburu,,,False,,,Mary Wangeci,Auto Centre Garage Buruburu,2022-11-03T11:37:07,2022-11-03T11:37:07
Autocross Car wash,,Autocross Car wash,,,False,,,Samuel Muchemi,Autocross Car wash,2022-09-28T18:17:43,2022-09-28T18:17:43
AUTO GARAGE & SPARES,,AUTO GARAGE & SPARES,,,False,,,Mary Wangeci,AUTO GARAGE & SPARES,2023-01-31T15:02:31,2023-01-31T15:02:31
Auto General Ltd P051598407Z,,Auto General Ltd P051598407Z,,,False,,,Samuel Muchemi,Auto General Ltd P051598407Z,2022-09-28T18:17:43,2022-09-28T18:17:43
Auto Metrix P051547685Z,,,,,False,,,Mary Wangeci,Auto Metrix P051547685Z,2024-02-06T11:44:10,2024-02-06T11:44:10
Auto Park General Supplies P051598407Z,,Auto Park General Supplies P051598407Z,,,False,,,Samuel Muchemi,Auto Park General Supplies P051598407Z,2022-09-28T18:17:43,2022-09-28T18:17:43
Auto Part & General Hardware,,Auto Part & General Hardware,,,False,,,Samuel Muchemi,Auto Part & General Hardware,2022-09-28T18:17:43,2022-09-28T18:17:43
Auto Quip Kings,,Auto Quip Kings,,,False,,,Samuel Muchemi,Auto Quip Kings,2022-09-28T18:17:43,2022-09-28T18:17:43
Autoquip Kings Ltd P051965026M,,Autoquip Kings Ltd P051965026M,,,False,,,Mary Wangeci,Autoquip Kings Ltd P051965026M,2022-11-03T12:55:30,2022-11-03T12:55:30
AVOCADO SOCIETY OF KENYA,,,,,False,,,Mary Wangeci,AVOCADO SOCIETY OF KENYA,2024-02-07T09:01:41,2024-02-07T09:01:41
AVOCADO SOCIETY OF KENYA ASSOCIATION,,,,,False,,,Mary Wangeci,AVOCADO SOCIETY OF KENYA ASSOCIATION,2024-02-07T09:02:30,2024-02-07T09:02:30
Awali Energies Ltd P051570079I,,Awali Energies Ltd P051570079I,,,False,,,Samuel Muchemi,Awali Energies Ltd P051570079I,2022-09-28T18:17:43,2022-09-28T18:17:43
AXIS ELECTRONICS,,AXIS  ELECTRONICS,,,False,,,Samuel Muchemi,AXIS ELECTRONICS,2022-09-28T18:17:43,2022-09-28T18:17:43
AXIS ELECTRONOCS,,AXIS  ELECTRONOCS,,,False,,,Samuel Muchemi,AXIS ELECTRONOCS,2022-09-28T18:17:43,2022-09-28T18:17:43
BANCY PAN ENTERPRISES,,BANCY PAN ENTERPRISES,,,False,,,Samuel Muchemi,BANCY PAN ENTERPRISES,2022-09-28T18:17:43,2022-09-28T18:17:43
BANEFAM LTD,,BANEFAM  LTD,,,False,,,Samuel Muchemi,BANEFAM LTD,2022-09-28T18:17:43,2022-09-28T18:17:43
BANEFAM LTD P051302336P,,BANEFAM LTD P051302336P,,,False,,,Mary Wangeci,BANEFAM LTD P051302336P,2023-02-13T14:29:49,2023-02-13T14:29:49
Banita Hardware,,Banita  Hardware,,,False,,,Mary Wangeci,Banita Hardware,2025-03-10T09:41:00,2025-03-10T09:41:00
BASELINE MOTOR MART LTD,,BASELINE MOTOR MART LTD,,,False,,,Samuel Muchemi,BASELINE MOTOR MART LTD,2022-09-28T18:17:43,2022-09-28T18:17:43
BATT MOTORS INVESTMENT,,BATT MOTORS INVESTMENT,,,False,,,Mary Wangeci,BATT MOTORS INVESTMENT,2025-07-01T09:30:59,2025-07-01T09:30:59
BAZAAR ELECTRICALS,,BAZAAR  ELECTRICALS,,,False,,,Samuel Muchemi,BAZAAR ELECTRICALS,2022-09-28T18:17:43,2022-09-28T18:17:43
BEATRICE MMWENDE,,BEATRICE  MMWENDE,,,False,,,Mary Wangeci,BEATRICE MMWENDE,2025-06-05T09:48:43,2025-06-05T09:48:43
BEGININGS KOINANGE INVEST &DEV LTD P000593219O,,BEGININGS KOINANGE INVEST &DEV LTD P000593219O,,,False,,,Mary Wangeci,BEGININGS KOINANGE INVEST &DEV LTD P000593219O,2023-02-17T11:46:34,2023-02-17T11:46:34
BELEA AGROVETS,,,,,False,,,Mary Wangeci,BELEA AGROVETS,2023-08-04T10:37:23,2023-08-04T10:37:23
Belhmann Africa company Ltd,,Belhmann Africa company Ltd,,,False,,,Samuel Muchemi,Belhmann Africa company Ltd,2022-09-28T18:17:43,2022-09-28T18:17:43
BENARD MUEMA,,BENARD  MUEMA,,,False,,,Samuel Muchemi,BENARD MUEMA,2022-09-28T18:17:44,2022-09-28T18:17:44
BENCH BUTCHERY,,,,,False,,,Mary Wangeci,BENCH BUTCHERY,2023-06-29T08:41:36,2023-06-29T08:41:36
BENFORD ICT SOLUTIONS,,BENFORD ICT SOLUTIONS,"0719790255
JEWEL PLAZA TRM DRIVE",,False,,,Mary Wangeci,BENFORD ICT SOLUTIONS,2025-09-05T12:22:23,2025-09-05T12:22:23
Bensaga Auto Spares,,Bensaga Auto Spares,,,False,,,Mary Wangeci,Bensaga Auto Spares,2022-11-03T12:21:36,2022-11-03T12:21:36
Bensanga Auto spares,,Bensanga Auto spares,,,False,,,Mary Wangeci,Bensanga Auto spares,2022-11-03T08:18:49,2022-11-03T08:18:49
Benson Warutere,,Benson  Warutere,,,False,,,Samuel Muchemi,Benson Warutere,2022-09-28T18:17:44,2022-09-28T18:17:44
BIG TIME SAFARIS A000190261A,,,,,False,,,Mary Wangeci,BIG TIME SAFARIS A000190261A,2024-02-06T11:56:12,2024-02-06T11:56:12
BILKHEIR FILLING STATION,,BILKHEIR FILLING STATION,,,False,,,Samuel Muchemi,BILKHEIR FILLING STATION,2022-09-28T18:17:44,2022-09-28T18:17:44
BIOFLORENS AGRO,,BIOFLORENS AGRO,,,False,,,Mary Wangeci,BIOFLORENS AGRO,2023-05-09T10:16:47,2023-05-09T10:16:47
BIOLINE AGROSCIENCES,Angela.Njenga@dudutech.com,,,+254 721201284,False,,-38000.0,Mary Wangeci,BIOLINE AGROSCIENCES,2024-03-05T16:39:50,2024-07-04T10:15:12
Bionule Biotech,,Bionule  Biotech,,,False,,,Sheila Maina,Bionule Biotech,2022-10-18T10:54:22,2023-01-13T10:49:31
BIONULE BIOTEK,bionulebiotek@gmail.com,,"SF 201 CLOVER TOWER SURBHI VATICA
SAMA SAVLI ROAD VADODARA-390022",+(91)94048815661,False,,,Mary Wangeci,BIONULE BIOTEK,2023-10-06T08:46:34,2024-01-15T15:42:58
Bobmill Industry.,,Bobmill  Industry.,,0738871598,False,,,Samuel Muchemi,Bobmill Industry.,2022-09-28T18:17:44,2022-09-28T18:17:44
BONJOUR ENERGY LTD P051698808V,,,,,False,,,Mary Wangeci,BONJOUR ENERGY LTD P051698808V,2023-09-28T15:24:38,2023-09-28T15:24:38
BOON WELL LIMITED P051136297J,,,,,False,,,Mary Wangeci,BOON WELL LIMITED P051136297J,2024-09-02T12:05:14,2024-09-02T12:05:14
Boru Electricals,,Boru  Electricals,,,False,,,Samuel Muchemi,Boru Electricals,2022-09-28T18:17:44,2022-09-28T18:17:44
BOXLEO COURIER & FULLFILLMENT SERVICES,,BOXLEO COURIER & FULLFILLMENT SERVICES,,,False,,,Mary Wangeci,BOXLEO COURIER & FULLFILLMENT SERVICES,2023-03-29T15:16:38,2023-03-29T15:16:38
Brain Waves Technicians,,Brain Waves Technicians,,,False,,,Samuel Muchemi,Brain Waves Technicians,2022-09-28T18:17:44,2022-09-28T18:17:44
BRAKE EXPERTS & AUTOSPARES,,BRAKE EXPERTS & AUTOSPARES,,,False,,,Samuel Muchemi,BRAKE EXPERTS & AUTOSPARES,2022-09-28T18:17:44,2022-09-28T18:17:44
BRIDGE HOTEL,,,,,False,,,Mary Wangeci,BRIDGE HOTEL,2024-02-06T12:06:12,2024-02-06T12:06:12
BRIFO ENTERPRISES,,,,,False,,,Mary Wangeci,BRIFO ENTERPRISES,2023-10-31T10:02:56,2023-10-31T10:02:56
BROADWAY PERTOLEUM LTD P051332642T,,,,,False,,,Mary Wangeci,BROADWAY PERTOLEUM LTD P051332642T,2023-08-22T15:35:57,2023-08-22T15:35:57
BROADWAY PETROLEUM P051332642T,,BROADWAY PETROLEUM P051332642T,,,False,,,Samuel Muchemi,BROADWAY PETROLEUM P051332642T,2022-09-28T18:17:44,2022-09-28T18:17:44
BROSIS UNITED COMPANY LTD P051362440S,,,,,False,,,Mary Wangeci,BROSIS UNITED COMPANY LTD P051362440S,2024-12-10T15:52:46,2024-12-10T15:52:46
BUMANEST LIMITED P051847925U,,,,,False,,,Mary Wangeci,BUMANEST LIMITED P051847925U,2024-03-08T09:33:06,2024-03-08T09:33:06
BURU BURU AUTO GARAGE,,BURU BURU AUTO GARAGE,,,False,,,Samuel Muchemi,BURU BURU AUTO GARAGE,2022-09-28T18:17:44,2022-09-28T18:17:44
BUSHRAT ENTERPRISES,,,,,False,,,Mary Wangeci,BUSHRAT ENTERPRISES,2024-02-06T15:17:27,2024-02-06T15:17:27
BY FAITH HARDWARE,,BY FAITH HARDWARE,,,False,,,Mary Wangeci,BY FAITH HARDWARE,2023-03-29T15:56:35,2023-03-29T15:56:35
CABON PETROLEUM LIMITED P051809768F,,CABON PETROLEUM LIMITED P051809768F,,,False,,,Mary Wangeci,CABON PETROLEUM LIMITED P051809768F,2025-08-07T09:56:02,2025-08-07T09:56:02
CANON GENERAL INSURANCE LTD,,,,,False,,-8200.0,Mary Wangeci,CANON GENERAL INSURANCE LTD,2023-10-31T15:30:38,2024-02-07T08:42:20
CAPTAIN HEYKAL VENTURES P051886367C,,CAPTAIN HEYKAL VENTURES P051886367C,,,False,,,Mary Wangeci,CAPTAIN HEYKAL VENTURES P051886367C,2023-05-30T09:50:20,2023-05-30T09:50:20
car fits autoshine,,car fits autoshine,,,False,,,Mary Wangeci,car fits autoshine,2025-04-07T13:17:30,2025-04-07T13:17:30
CARIBOU TRADERS LTD P051693101V,,CARIBOU TRADERS LTD P051693101V,,,False,,,Mary Wangeci,CARIBOU TRADERS LTD P051693101V,2025-07-01T09:29:53,2025-07-01T09:29:53
CAROL WANJIRU PROMOTER,,,,,False,,,Mary Wangeci,CAROL WANJIRU PROMOTER,2023-09-29T14:44:42,2023-09-29T14:44:42
Carrefour,,Carrefour,,,False,,,Samuel Muchemi,Carrefour,2022-09-28T18:17:44,2022-09-28T18:17:44
CARREFOUR P051522497N,,CARREFOUR P051522497N,,,False,,,Mary Wangeci,CARREFOUR P051522497N,2023-02-13T15:13:47,2023-02-13T15:13:47
Carry On Restaurant,,Carry On Restaurant,,,False,,,Mary Wangeci,Carry On Restaurant,2022-11-03T12:50:54,2022-11-03T12:50:54
CARTONS MANUFACTURERS LTD,,CARTONS MANUFACTURERS LTD,,,False,,,Mary Wangeci,CARTONS MANUFACTURERS LTD,2026-04-07T12:01:17,2026-04-07T12:01:17
CAR WORLD AUTO SPARES,,CAR WORLD AUTO SPARES,,,False,,,Mary Wangeci,CAR WORLD AUTO SPARES,2023-03-29T15:57:21,2023-03-29T15:57:21
CASTLE GARDENS,,CASTLE  GARDENS,,,False,,,Mary Wangeci,CASTLE GARDENS,2025-04-03T11:29:26,2025-04-03T11:29:26
Celcius Power Ltd,,Celcius Power Ltd,,,False,,,Samuel Muchemi,Celcius Power Ltd,2022-09-28T18:17:44,2022-09-28T18:17:44
CELIM COMMERCIAL AGENCIES LTD,,CELIM COMMERCIAL AGENCIES LTD,,,False,,,Mary Wangeci,CELIM COMMERCIAL AGENCIES LTD,2023-05-09T10:23:37,2023-05-09T10:23:37
CENTRAL LINK BREAKDOWN SERVICES,,,,,False,,,Mary Wangeci,CENTRAL LINK BREAKDOWN SERVICES,2023-08-22T15:48:02,2023-08-22T15:48:02
CENTURY PETROLEUM DEALERS LIMITED P051463080C,,CENTURY PETROLEUM DEALERS LIMITED P051463080C,,,False,,,Mary Wangeci,CENTURY PETROLEUM DEALERS LIMITED P051463080C,2025-07-01T09:40:17,2025-07-01T09:40:17
Chance Aluminium & Glass Mart Contractors,,Chance Aluminium & Glass Mart Contractors,,,False,,,Mary Wangeci,Chance Aluminium & Glass Mart Contractors,2022-11-03T10:47:43,2022-11-03T10:47:43
CHANDARIA,,,,,False,,,Mary Wangeci,CHANDARIA,2023-07-03T11:14:12,2023-07-03T11:14:12
Chania Travellers,,Chania  Travellers,,,False,,,Samuel Muchemi,Chania Travellers,2022-09-28T18:17:44,2022-09-28T18:17:44
CHARLES HANNAH ROSES,,,,,False,,,Mary Wangeci,CHARLES HANNAH ROSES,2023-11-23T09:35:36,2023-11-23T09:35:36
Check Point Auto Parts,,Check Point Auto Parts,,,False,,,Mary Wangeci,Check Point Auto Parts,2022-11-03T10:55:31,2022-11-03T10:55:31
Chemical & school supplies ltd,,Chemical & school supplies ltd,,,False,,,Samuel Muchemi,Chemical & school supplies ltd,2022-09-28T18:17:44,2022-09-28T18:17:44
Chemtica Internacional,,Chemtica  Internacional,,(305)374-0855,False,,1079044.4,Samuel Muchemi,Chemtica Internacional,2022-09-28T18:17:44,2026-04-24T15:28:58
CHINA SQUARE P052137613R,,CHINA SQUARE P052137613R,,,False,,,Mary Wangeci,CHINA SQUARE P052137613R,2023-04-28T12:10:12,2023-04-28T12:10:12
CHINESE CORNER LTD P000599128F,,,,,False,,,Mary Wangeci,CHINESE CORNER LTD P000599128F,2024-02-06T11:39:31,2024-02-06T11:39:31
CHINESE DIANI RESTAURANT A002496903U,,,,,False,,,Mary Wangeci,CHINESE DIANI RESTAURANT A002496903U,2024-02-06T11:59:08,2024-02-06T11:59:08
CHRIDAL ENTERPRISES LIMITED,,,,,False,,,Mary Wangeci,CHRIDAL ENTERPRISES LIMITED,2023-06-29T08:46:53,2023-06-29T08:46:53
CHUKA FILLING STATION,,CHUKA FILLING STATION,,,False,,,Samuel Muchemi,CHUKA FILLING STATION,2022-09-28T18:17:44,2022-09-28T18:17:44
CITYCOM OIL LTD P051569997M,,,,,False,,,Mary Wangeci,CITYCOM OIL LTD P051569997M,2023-11-16T12:53:18,2023-11-16T12:55:11
CITY SPRING WATER,,CITY SPRING WATER,,,False,,,Samuel Muchemi,CITY SPRING WATER,2022-09-28T18:17:45,2022-09-28T18:17:45
CLARITY MEDIA,,CLARITY MEDIA,,,False,,,Mary Wangeci,CLARITY MEDIA,2022-12-19T16:19:50,2022-12-19T16:19:50
Classic Auto Spares,,Classic Auto Spares,,,False,,,Mary Wangeci,Classic Auto Spares,2022-11-03T12:42:34,2022-11-03T12:42:34
CLIFF ARASA,,CLIFF  ARASA,,,False,,,Samuel Muchemi,CLIFF ARASA,2022-09-28T18:17:45,2022-09-28T18:17:45
Coast Mail Co.,,Coast Mail Co.,,,False,,,Samuel Muchemi,Coast Mail Co.,2022-09-28T18:17:45,2022-09-28T18:17:45
COMORANI ENERGY ENTERPRISE LIMITED P052205642X,,COMORANI ENERGY ENTERPRISE LIMITED P052205642X,,,False,,,Mary Wangeci,COMORANI ENERGY ENTERPRISE LIMITED P052205642X,2025-08-07T09:52:13,2025-08-07T09:52:13
Concorde Service Station,,Concorde Service Station,,,False,,,Samuel Muchemi,Concorde Service Station,2022-09-28T18:17:45,2022-09-28T18:17:45
CONFEDERATE GLOBAL P051549169Y,,CONFEDERATE GLOBAL P051549169Y,,,False,,,Samuel Muchemi,CONFEDERATE GLOBAL P051549169Y,2022-09-28T18:17:45,2022-09-28T18:17:45
CONTINENTAL INN CO. LTD,,CONTINENTAL INN CO. LTD,,,False,,,Samuel Muchemi,CONTINENTAL INN CO. LTD,2022-09-28T18:17:45,2022-09-28T18:17:45
CONTINENTAL INN COMPANY P051164419P,,,,,False,,,Mary Wangeci,CONTINENTAL INN COMPANY P051164419P,2023-09-28T09:28:01,2023-09-28T09:28:01
CORPORATE SOLUTIONS CONSULTANCY,,CORPORATE SOLUTIONS CONSULTANCY,,,False,,,Mary Wangeci,CORPORATE SOLUTIONS CONSULTANCY,2023-04-04T11:14:53,2023-04-04T11:14:53
Crown Bus Services,,Crown Bus Services,,,False,,,Samuel Muchemi,Crown Bus Services,2022-09-28T18:17:45,2022-09-28T18:17:45
CURRY ON RESTAURANT,,,,,False,,,Mary Wangeci,CURRY ON RESTAURANT,2024-04-03T15:55:45,2024-04-03T15:55:45
Cute Kitchen,,Cute  Kitchen,,,False,,,Samuel Muchemi,Cute Kitchen,2022-09-28T18:17:45,2022-09-28T18:17:45
Dabumper Enterprises,,Dabumper  Enterprises,,0722812313,False,,,Samuel Muchemi,Dabumper Enterprises,2022-09-28T18:17:45,2022-09-28T18:17:45
DACHMAN ENTERPRISES,,,,,False,,,Mary Wangeci,DACHMAN ENTERPRISES,2023-06-29T08:42:42,2023-06-29T08:42:42
Dadan Investment Ltd,,Dadan Investment Ltd,,,False,,,Mary Wangeci,Dadan Investment Ltd,2022-11-03T11:33:58,2022-11-03T11:33:58
DAJOHN ENTERPRISES,,,0722793916ACCRA RD NRB,,False,,,Mary Wangeci,DAJOHN ENTERPRISES,2024-05-31T12:00:33,2024-05-31T12:00:33
Dakim Cyber,,Dakim  Cyber,,,False,,,Samuel Muchemi,Dakim Cyber,2022-09-28T18:17:45,2022-09-28T18:17:45
DAKIM NJIRU,,,,,False,,,Mary Wangeci,DAKIM NJIRU,2024-03-08T10:13:51,2024-03-08T10:13:51
DALAD  HOTEL LIMITED,,,,,False,,,Mary Wangeci,DALAD  HOTEL LIMITED,2024-02-06T12:04:21,2024-02-06T12:04:21
Dama Shuttle,,Dama  Shuttle,,,False,,,Samuel Muchemi,Dama Shuttle,2022-09-28T18:17:45,2022-09-28T18:17:45
DANKIM CYBER,,DANKIM CYBER,,,False,,,Mary Wangeci,DANKIM CYBER,2023-03-31T09:34:16,2023-03-31T09:34:16
DANPO ENERGY FILLING STATION P051901591J,,,,,False,,,Mary Wangeci,DANPO ENERGY FILLING STATION P051901591J,2024-03-08T09:35:03,2024-03-08T09:35:03
DAVID-PANDA,,,,,False,,,Mary Wangeci,DAVID-PANDA,2024-05-31T08:59:49,2024-05-31T08:59:49
David Sumba,,David  Sumba,,,False,,,Samuel Muchemi,David Sumba,2022-09-28T18:17:45,2022-09-28T18:17:45
Davis Auto & Accessories,,Davis Auto & Accessories,,,False,,,Mary Wangeci,Davis Auto & Accessories,2022-11-03T11:18:08,2022-11-03T11:18:08
DAVISCO HARDWARE,,DAVISCO  HARDWARE,,,False,,,Samuel Muchemi,DAVISCO HARDWARE,2022-09-28T18:17:45,2022-09-28T18:17:45
DECOR FINITY,,DECOR FINITY,,,False,,,Mary Wangeci,DECOR FINITY,2022-12-02T10:06:20,2022-12-02T10:06:20
DELMAX ELECTRICAL SUPPLIERS,,DELMAX ELECTRICAL SUPPLIERS,,,False,,,Samuel Muchemi,DELMAX ELECTRICAL SUPPLIERS,2022-09-28T18:17:45,2022-09-28T18:17:45
Delmonte,,,,,False,,,Mary Wangeci,Delmonte,2024-03-28T12:16:10,2024-03-28T12:16:10
Demukamas Enterprises,,Demukamas  Enterprises,,,False,,,Samuel Muchemi,Demukamas Enterprises,2022-09-28T18:17:45,2022-09-28T18:17:45
